"Player","Pos","Year","Week","Team","Opponent Abbrev","Date","Game ID","H/A","OT","Team Score","Opponent Score","Spread","Over/Under","Implied Points","Actual Margin","Indoor/Outdoor","Surface","Weather","Temperature","Wind","Pass Att","Pass Cmp","Pass Yds","Pass TD","Pass Int","Pass Lng","Pass Rate","Pass Sk","Pass Sk Yds","Rush Att","Rush Yds","Rush TD","Rush Lng","Rec Tgt","Rec Rec","Rec Yds","Rec TD","Rec Lng","Fmb","FL","2PT","Kick Ret","Kick Yds","Kick TD","Kick Lng","Kick YPR","Punt Ret","Punt Yds","Punt TD","Punt Lng","Punt YPR","Short L Tgt","Short L Ctch","Short L Yds","Short L TD","Short M Tgt","Short M Ctch","Short M Yds","Short M TD","Short R Tgt","Short R Ctch","Short R Yds","Short R TD","Deep L Tgt","Deep L Ctch","Deep L Yds","Deep L TD","Deep M Tgt","Deep M Ctch","Deep M Yds","Deep M TD","Deep R Tgt","Deep R Ctch","Deep R Yds","Deep R TD","No Dir Tgt","No Dir Ctch","No Dir Yds","No Dir TD","Off Num","Off Pct","Def Num","Def Pct","ST Num","ST Pct","DKP","DKSalary","FDP","FDSalary","DK_Total_FP","FD_Total_FP","YH_Total_FP","Sk","Int","Int TD","FF","FR","Fum TD","QBHits","TFL","Oppt Int TD","Oppt Fum TD","Oppt Punt TD","Oppt Kick TD","FGM","FGA","FG 0-19","FG 20-29","FG 30-39","FG 40-49","FG 50+","XPM","XPA","Pnt","Yds","Y/P"
"Alex Smith","QB",2017,1,"KAN","NWE",2017-09-07,"201709070nwe","A","",42,27,8,47.5,19.75,-15,"outdoors","fieldturf ","63 degrees, wind 8 mph",63,8,35,28,368,4,0,78,148.6,3,16,5,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,"100%",0,"0%",0,"0%",34.02,5400,31.02,6900,34.02,31.02,31.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kareem Hunt","RB",2017,1,"KAN","NWE",2017-09-07,"201709070nwe","A","",42,27,8,47.5,19.75,-15,"outdoors","fieldturf ","63 degrees, wind 8 mph",63,8,0,0,0,0,0,0,0,0,0,17,148,1,58,5,5,98,2,78,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,8,1,0,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,1,1,78,1,0,0,0,0,39,"57%",0,"0%",0,"0%",49.6,5800,43.1,6400,49.6,43.1,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charcandrick West","RB",2017,1,"KAN","NWE",2017-09-07,"201709070nwe","A","",42,27,8,47.5,19.75,-15,"outdoors","fieldturf ","63 degrees, wind 8 mph",63,8,0,0,0,0,0,0,0,0,0,1,21,1,21,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"34%",0,"0%",0,"0%",9.5,4000,9,5000,9.5,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyreek Hill","WR",2017,1,"KAN","NWE",2017-09-07,"201709070nwe","A","",42,27,8,47.5,19.75,-15,"outdoors","fieldturf ","63 degrees, wind 8 mph",63,8,0,0,0,0,0,0,0,0,0,2,5,0,4,8,7,133,1,75,1,0,0,0,0,0,0,0,2,7,0,7,3.5,1,1,14,0,2,2,23,0,3,3,21,0,1,0,0,0,0,0,0,0,1,1,75,1,0,0,0,0,50,"74%",0,"0%",4,"11%",29.8,5700,23.3,6700,29.8,23.3,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Kelce","TE",2017,1,"KAN","NWE",2017-09-07,"201709070nwe","A","",42,27,8,47.5,19.75,-15,"outdoors","fieldturf ","63 degrees, wind 8 mph",63,8,0,0,0,0,0,0,0,0,0,1,4,0,4,7,5,40,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,21,0,3,3,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,"99%",0,"0%",0,"0%",9.4,5600,6.9,6500,9.4,6.9,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"De'Anthony Thomas","WR",2017,1,"KAN","NWE",2017-09-07,"201709070nwe","A","",42,27,8,47.5,19.75,-15,"outdoors","fieldturf ","63 degrees, wind 8 mph",63,8,0,0,0,0,0,0,0,0,0,1,4,0,4,1,1,-2,0,-2,0,0,0,4,86,0,31,21.5,2,3,0,3,1.5,0,0,0,0,0,0,0,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"12%",0,"0%",31,"82%",1.2,3000,0.7,4500,1.2,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Conley","WR",2017,1,"KAN","NWE",2017-09-07,"201709070nwe","A","",42,27,8,47.5,19.75,-15,"outdoors","fieldturf ","63 degrees, wind 8 mph",63,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,43,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,18,0,1,1,25,0,0,0,0,0,1,0,0,0,0,0,0,0,64,"94%",0,"0%",0,"0%",6.3,3300,5.3,5100,6.3,5.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albert Wilson","WR",2017,1,"KAN","NWE",2017-09-07,"201709070nwe","A","",42,27,8,47.5,19.75,-15,"outdoors","fieldturf ","63 degrees, wind 8 mph",63,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,37,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,2,2,12,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"57%",0,"0%",15,"39%",8.7,3200,6.2,4500,8.7,6.2,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Demetrius Harris","TE",2017,1,"KAN","NWE",2017-09-07,"201709070nwe","A","",42,27,8,47.5,19.75,-15,"outdoors","fieldturf ","63 degrees, wind 8 mph",63,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"37%",0,"0%",20,"53%",9.5,2500,8.5,4500,9.5,8.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ross Travis","TE",2017,1,"KAN","NWE",2017-09-07,"201709070nwe","A","",42,27,8,47.5,19.75,-15,"outdoors","fieldturf ","63 degrees, wind 8 mph",63,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,"12%",0,"0%",0,"0%",0,2500,0,4500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
